original_page,pdf_page,kind,observed_content,required_public_action,confidence,privacy_note
80,79,album_page/photos,Две исторические фотографии с авторскими подписями: верхний групповой кадр,"нижний кадр похорон/шествия.  Отдельно вырезать оба снимка, сохранить контекст подписей, связать с историей Тимофея Петровича; не угадывать личности сверх подписей.",high,historical/public after verification
81,80,album_page/photo+note,"Фотография Александровского централа; подпись сообщает, что отец находился там летом 1910 года.",Создать документальную фотокарточку и связать со страницей Самсонова Т. П. и историей заключения.,high,historical/public after verification
82,81,manuscript/biography,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,high,historical/public after verification
83,82,manuscript/biography,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,high,historical/public after verification
84,83,manuscript/biography,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,high,historical/public after verification
85,84,reference/biography,Список партийных съездов/конференций и краткая биографическая справка о Тимофее Петровиче.,Сверить с уже опубликованной биографией  добавить только подтверждённые сведения и ссылку на источник.,high,historical/public after verification
86,85,album_page/photos,Две групповые фотографии в интерьере с рукописными подписями.,"Вырезать снимки и подписи, установить контекст только по авторскому тексту, добавить в исторический фотоархив.",high,historical/public after verification
87,86,manuscript/poem_or_letter,Текст с заголовком «Сестре и брату» и продолжение семейного посвящения.,Опубликовать как отдельный семейный текст либо как начало главы о сестре и брате.,high,historical/public after verification
88,87,manuscript/poem_or_letter,Текст с заголовком «Сестре и брату» и продолжение семейного посвящения.,Опубликовать как отдельный семейный текст либо как начало главы о сестре и брате.,high,historical/public after verification
89,88,inserted_letter,"Отдельный вложенный лист — личное письмо/обращение к сестре, заканчивающееся воспоминанием о её таланте.",Показать скан вложения и расшифровку как самостоятельный документ  связать с рассказом о Гене.,high,historical/public after verification
90,89,inserted_letter,"Отдельный вложенный лист — личное письмо/обращение к сестре, заканчивающееся воспоминанием о её таланте.",Показать скан вложения и расшифровку как самостоятельный документ  связать с рассказом о Гене.,high,historical/public after verification
91,90,manuscript/family_story,"Рассказ о судьбе сестры Гени, её ребёнке, эвакуации и смерти в 1941 году.",Оставить в содержательной главе о Гене  проверить непрерывность и подписи.,high,historical/public after verification
92,91,album_page/photos,"Фотографии Жени и Тёмы, юношеский портрет и семейная группа ноября 1925 года с подписями.",Опубликовать отдельные аккуратные crops и семейную фотокарточку с авторскими подписями.,high,historical/public after verification
93,92,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
94,93,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
95,94,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
